c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-calendar-notifications.js: line 71, col 11, Warning - 'resourceId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-calendar-notifications.js: line 196, col 11, Warning - 'endTime' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-calendar-notifications.js: line 331, col 13, Warning - 'data' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 133, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 133, col 45, Warning - 'startTime' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 154, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 176, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 176, col 41, Warning - 'participantEmail' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 176, col 59, Warning - 'joinTime' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 200, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 200, col 41, Warning - 'participantEmail' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 200, col 59, Warning - 'leaveTime' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 224, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 245, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 269, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 290, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 312, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 312, col 45, Warning - 'timestamp' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 337, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 337, col 41, Warning - 'timestamp' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 358, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 380, col 13, Warning - 'meetingId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-extensions.js: line 443, col 13, Warning - 'data' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-realtime.js: line 119, col 50, Warning - 'startTime' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-realtime.js: line 184, col 35, Warning - 'previousSpeaker' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\google-meet-realtime.js: line 335, col 13, Warning - 'data' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\microsoft365-notifications.js: line 76, col 39, Warning - 'changeType' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\microsoft365-notifications.js: line 76, col 51, Warning - 'clientState' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\microsoft365-notifications.js: line 123, col 53, Warning - Unnecessary escape character: \/. (no-useless-escape)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\microsoft365-notifications.js: line 201, col 57, Warning - Unnecessary escape character: \/. (no-useless-escape)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\microsoft365-notifications.js: line 389, col 13, Warning - 'data' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\whatsapp-notifications.js: line 74, col 30, Warning - 'recipient' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\whatsapp-webhook.js: line 201, col 34, Warning - 'event' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\zoom-notifications.js: line 368, col 13, Warning - 'data' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\zoom-notifications.js: line 394, col 10, Warning - 'verifyZoomSignature' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 4, col 3, Warning - 'UsersIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 7, col 3, Warning - 'CogIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 10, col 3, Warning - 'FunnelIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 14, col 3, Warning - 'DocumentTextIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 15, col 3, Warning - 'ArrowTrendingUpIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 16, col 3, Warning - 'ArrowTrendingDownIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 19, col 3, Warning - 'TrashIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 20, col 3, Warning - 'BellIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 53, col 10, Warning - 'comparativeData' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 53, col 27, Warning - 'setComparativeData' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 55, col 10, Warning - 'selectedMetric' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 55, col 26, Warning - 'setSelectedMetric' is assigned a value but never used. (no-unused-vars)
